# Generated by scripts/gen_stash_units.py - do not edit by hand.
# Data: Dude, Where's My Stuff StashUnit enum (BSD-2, see
# licenses/dude-wheres-my-stuff-LICENSE), derived from RuneLite core
# clue data. Columns: <chart text>\t<default item ids, comma-joined>.
7th Chamber of Jalsavrah	9044,6392,6394,6396
Agility Pyramid	4091,7336
Al Kharid scorpion mine	1833,1059,1061
Aris's tent	1635,1654
Aubury's shop in Varrock	5527,1383
Barbarian Outpost obstacle course	1119,853,4315
Barrows Chest	4716,4718,4720,4722
Behind Miss Schism in Draynor Village	4151,1052,6135
Bob's Brilliant Axes in Lumbridge	1351,1061
By the bear cage in Varrock Palace gardens	11808
Castle Wars bank	1698,1329,4315
Catherby beehive field	1833,648,1353
Centre of Canifis	638,1071,1309
Centre of the Catacombs of Kourend	19675,12853
Chaos Temple in the south-eastern Wilderness	1079,1115,2487
Chapel in West Ardougne	1249,2495
Crossroads north of Draynor Village	1101,1637,839
Death Altar	2572,5547,1052
Digsite	658,6328,1267
Draynor Manor by the fountain	1115,1097,1155
Draynor Village market	1097,1191,1295
East of the Barbarian Village bridge	2942,1193,1159
Entrana Chapel	2491,2497,2503
Entrance of the Arceuus library	2487,4129,1211
Entrance of the cave of Damis	10454,9185,3105,4657
Entrance of the cavern under the whirlpool	3122,3387,10286
Fishing Guild bank	2890,2493,1347
Fountain of Heroes	3389,11840,1303
Gnome Glider on White Wolf Mountain	1071,2570,1359
Gnome Stronghold balancing rope	1193,2568,1099
Half-way down Trollweiss Mountain	2487,1249,1093,4084
Hickton's Archery Emporium	630,1131,2961
Hosidius Mess	3202,1127,1725
Iffie Nitter in Varrock	1949,1007
In the middle of Jiggig	10286,1247,1079
Inside the Digsite Exam Centre	1401,11092,4131
King Black Dragon's lair	2503,2491,12524
Limestone mine	1075,1269,1141
Lumbridge Swamp caves	1381,1155,1731
Mausoleum off the Morytania coast	1085,851
Mountain Camp goat enclosure	1163,2493,1393
Mubariz's room at the Emir's Arena	1101,1095,1169
Mudskipper Point	1019,1095,1424
Near Herquin's shop in Falador	1273,1125,1191
Near a ladder in the Wilderness Lava Maze	2497,10069,7445
Near a runite rock in the Fremennik Isles	4131,9674,1645
Near a shed in Lumbridge Swamp	1205,1153,1635
Near the Charcoal Burners	13646,13381,20706
Near the Entrana ferry in Port Sarim	1169,1083,1656
Near the Sawmill Operator's booth	1131,1095,1351
Near the entrance of the Civitas illa Fortis Grand Museum	1658,1011,644
Near the gem stall in Ardougne market	11079,1702,2568
Near the parrots in Ardougne Zoo	1133,1075,1379
Near the pier in Zul-Andra	7158,11836,6568
North of Evil Dave's house in Edgeville	1757,1061,1059
North of Mount Karuulm	1345,2570,4127
North of Prifddinas by several maple trees	22368,5541
North of the Shayzien combat ring	1073,1123,1161
North of the Twilight Temple	851,1698,1069
North-east corner of the Kharazi Jungle	10472,7336
North-western corner of the Enchanted Valley	6739
Northern wall of Castle Drakan	1187,3387,7319
Noterazzo's shop in the Wilderness	1183,2487,1275
Observatory	1109,1099,1698
Ogre cage in the Ardougne Training Camp	1135,1099,1177
On Brittle Isle	32386,31583
On Wintumber Island	7539,7537
On the bridge to the Misthalin Wizards' Tower	1137,1639,1005
On top of Trollheim Mountain	3053,2491,9731
Outside Catherby bank	851,1099,1137
Outside Draynor Village jail	1287,1694,1091
Outside Harry's Fishing Shop in Catherby	1183,8872,1121
Outside K'ril Tsutsaroth's room	2657,10858
Outside Keep Le Faye	1169,1115,1059
Outside Mudknuckles' hut	12480,12273,11804
Outside Varrock Palace courtyard	1361,1169,1641
Outside Yanille bank	1757,1145,6324
Outside the Digsite Exam Centre	1005,628,1059
Outside the Falador Party Room	1157,1119,1081
Outside the Fishing Guild	1639,1694,1103
Outside the Legends' Guild door	1052,1377,1704
Outside the Legends' Guild gates	1067,845,1696
Outside the Seers' Village courthouse	3200,4093,1643
Outside the Slayer Tower gargoyle room	6724,11118,10828
Outside the Wilderness axe hut	10394,1523
Outside the bar by the Fight Arena	7112,1664,859
Outside the great pyramid of Sophanem	2570,1704,1317
Outside the temple in Civitas illa Fortis	28933,28936,28939
Rimmington mine	1654,1635,1237
Road junction north of Rimmington	658,642,1095
Road junction south of Sinclair Mansion	1167,577,1323
Shantay Pass	3343,1381,1173
Shayzien War Tent	4093,1201,10316
Shilo Village bank	4089,5016,1127
Soul Altar	11920,10828,4131
South of the Grand Exchange	1013,636,5533
South of the gates to Cam Torum	29019,29013,29016,28988
South of the shrine in Tai Bwo Wannai Village	1099,2566,1143
South-east corner of Lava Dragon Isle	1149,6524,11037,1127,1704
South-east corner of the Fishing Platform	1704,7462,1149
South-east corner of the Monastery	3840
Taverley Stone Circle	579,1307,4310
Tent in Lord Iorwerth's encampment	23983
The bar on the Pandemonium	1025,1321
Top floor of the Lighthouse	2499,2487
Top floor of the Yanille Watchtower	4585,3105,3140,716
Twilight Temple	1303,1127,1093
TzHaar gem store	6570,6522
TzHaar weapons store	1295,2499,4095
Upstairs in the Ardougne windmill	640,4300,5525
Varrock Palace Library	638,4300,1335
Volcano in the north-eastern Wilderness	2645,12199
Warriors' Guild bank	10148
Warriors' Guild bank (master)	1377,12954,11864
Well of Voyage	1409,4101,4103
West side of Salvager Overlook	30073,30082
West side of the Karamja banana plantation	1643,1731
Wheat field near the Lumbridge windmill	640,654,843
Where the River Ortus meets the Proudspire	579,577
